nodeId;lat;lon
119;110;90
118;100;90
117;90;90
116;80;90
115;70;90
114;60;90
113;50;90
112;40;90
111;30;90
110;20;90
109;10;90
108;0;90
107;110;80
106;100;80
105;90;80
104;80;80
103;70;80
102;60;80
101;50;80
100;40;80
99;30;80
98;20;80
97;10;80
96;0;80
95;110;70
94;100;70
93;90;70
92;80;70
91;70;70
90;60;70
89;50;70
88;40;70
87;30;70
86;20;70
85;10;70
84;0;70
83;110;60
82;100;60
81;90;60
80;80;60
79;70;60
78;60;60
77;50;60
76;40;60
75;30;60
74;20;60
73;10;60
72;0;60
71;110;50
70;100;50
69;90;50
68;80;50
67;70;50
66;60;50
65;50;50
64;40;50
63;30;50
62;20;50
61;10;50
60;0;50
59;110;40
28;40;20
27;30;20
26;20;20
25;10;20
24;0;20
23;110;10
22;100;10
11;110;0
21;90;10
10;100;0
20;80;10
9;90;0
19;70;10
8;80;0
18;60;10
7;70;0
0;0;0
13;10;10
1;10;0
14;20;10
12;0;10
2;20;0
15;30;10
3;30;0
16;40;10
4;40;0
17;50;10
5;50;0
6;60;0
29;50;20
30;60;20
31;70;20
32;80;20
33;90;20
34;100;20
35;110;20
36;0;30
37;10;30
38;20;30
39;30;30
40;40;30
41;50;30
42;60;30
43;70;30
44;80;30
45;90;30
46;100;30
47;110;30
48;0;40
49;10;40
50;20;40
51;30;40
52;40;40
53;50;40
54;60;40
55;70;40
56;80;40
57;90;40
58;100;40
